OBJECTID,POPCHANGE,PCTCHANGE,EMPCHANGE,EMPPCTCHANGE,EMPDEN2045,EMPDENCHANGE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
69,11.30963802,15.80870153,4.49906351,16.36288111,16.36288111,0,MoveDC_Pop_Emp_ForecastsPly_336,{372614D8-5CAA-4141-84B3-A31740ACB945},,,,,0,0
70,12.91471481,24.40590332,11.49118851,32.81985212,53.43978136,20.61992924,MoveDC_Pop_Emp_ForecastsPly_10,{0780659E-74E2-4613-BE31-C7F74BBA46B0},,,,,0,0
71,20.18395042,20.24867096,0.06472054,15.48529301,15.48529301,0,MoveDC_Pop_Emp_ForecastsPly_8,{B5F4422D-3B7E-4F95-9CDC-0989F4DF3660},,,,,0,0
72,2.50857902,11.74150992,9.23293091,1.35992669,8.03570969,6.67578299,MoveDC_Pop_Emp_ForecastsPly_242,{6053130E-B24E-4B38-B6FC-F40CF30FE30F},,,,,0,0
73,5.2357831,5.53805505,0.30227195,0.57215773,0.57215773,0,MoveDC_Pop_Emp_ForecastsPly_230,{7C58E59B-373F-45C2-83E4-075112BC0A5F},,,,,0,0
74,13.67506599,16.50704986,2.83198387,27.14076356,27.14076356,0,MoveDC_Pop_Emp_ForecastsPly_19,{6106A6D4-50BD-41FB-A5DB-1B165FCC777F},,,,,0,0
75,10.11568165,10.11568206,4.1e-07,11.58124384,11.58124384,0,MoveDC_Pop_Emp_ForecastsPly_17,{E45B4A90-5363-4F86-B50F-78ECDD85B2DA},,,,,0,0
76,33.2471962,39.02002172,5.77282552,3.24721414,3.24721414,0,MoveDC_Pop_Emp_ForecastsPly_243,{B1374FFE-8B77-4DCF-BE1A-6C97E4BE23B3},,,,,0,0
77,37.84056473,49.38562427,11.54505954,12.39604699,18.3245912,5.92854421,MoveDC_Pop_Emp_ForecastsPly_236,{152C9242-3D9B-4DC3-9426-7D500AC01CED},,,,,0,0
78,55.24565125,77.99309822,22.74744698,1.31135391,3.32382773,2.01247382,MoveDC_Pop_Emp_ForecastsPly_234,{5BD8D9F4-60D6-4BD5-8274-79ECB406F9B4},,,,,0,0
79,50.7143364,65.58722583,14.87288943,10.60177075,13.40771529,2.80594454,MoveDC_Pop_Emp_ForecastsPly_235,{B2148B0B-DB5E-4B36-8699-DB48F071A111},,,,,0,0
80,18.04258537,19.22875434,1.18616897,1.60934223,1.60934223,0,MoveDC_Pop_Emp_ForecastsPly_229,{9BD0B195-875E-4637-81B0-17918040ABC3},,,,,0,0
81,12.27765656,12.90786755,0.63021099,0.36093904,1.16302579,0.80208675,MoveDC_Pop_Emp_ForecastsPly_346,{51528AC5-466C-4C9C-A7B0-8FA547D90273},,,,,0,0
82,15.4904995,15.57846856,0.08796906,22.70393852,22.70393852,0,MoveDC_Pop_Emp_ForecastsPly_241,{BED57E1B-E641-4329-9D84-C81E1A5C1CD8},,,,,0,0
83,13.74300671,17.00206252,3.25905581,8.24580399,10.26144497,2.01564098,MoveDC_Pop_Emp_ForecastsPly_337,{F37BEA49-AAFA-492C-8AED-931F183819C7},,,,,0,0
84,7.99006462,7.99006477,1.5e-07,3.11455858,3.11455858,0,MoveDC_Pop_Emp_ForecastsPly_342,{3807BE8C-1E5F-49BF-8B47-D95E1FB66B15},,,,,0,0
85,12.14901638,22.35968501,10.21066863,3.98353433,6.18134637,2.19781204,MoveDC_Pop_Emp_ForecastsPly_338,{16F5A7A6-DABF-4674-8AA8-BE3027A0EEEC},,,,,0,0
86,3.00946164,3.1915965,0.18213486,0.79842859,0.79842859,0,MoveDC_Pop_Emp_ForecastsPly_284,{CA83DA4F-6BD8-4543-ABEE-26ABB116D9E7},,,,,0,0
87,13.03106976,15.27749761,2.24642785,1.68258322,3.32041688,1.63783366,MoveDC_Pop_Emp_ForecastsPly_341,{02B51E58-5F0D-4B0D-98E8-179D6AB388BA},,,,,0,0
88,36.52215958,43.18388517,6.6617256,11.76258436,11.76258436,0,MoveDC_Pop_Emp_ForecastsPly_11,{FC518090-9EF9-4B6C-A94F-8B1F474C0F95},,,,,0,0
89,51.3790741,58.93719789,7.5581238,6.94700427,6.94700427,0,MoveDC_Pop_Emp_ForecastsPly_39,{DAC8C32F-4ABE-41CC-9CCF-3675FD87B2C3},,,,,0,0
90,28.07625008,36.72235233,8.64610225,10.46178316,10.46178316,0,MoveDC_Pop_Emp_ForecastsPly_13,{5C26D48A-4EBF-4125-8E1A-6CD9DD3F7B31},,,,,0,0
91,119.51972198,161.53782921,42.01810722,7.957442,9.32759758,1.37015558,MoveDC_Pop_Emp_ForecastsPly_35,{F2B9095E-A9B2-477B-8E0A-BA632C9D35D9},,,,,0,0
92,47.40924454,63.19856646,15.78932192,3.26106254,7.73986363,4.47880108,MoveDC_Pop_Emp_ForecastsPly_65,{BD0C62C3-547C-4C3D-AEDB-74890632DC4F},,,,,0,0
93,17.24360275,20.26168691,3.01808416,5.95754078,6.48978808,0.5322473,MoveDC_Pop_Emp_ForecastsPly_225,{5B533AF4-0D34-424D-B798-004EA3C9A4B9},,,,,0,0
94,16.42663956,19.77925198,3.35261242,4.11826068,4.11826068,0,MoveDC_Pop_Emp_ForecastsPly_9,{7394F5A3-9625-4FC0-9FC8-41E529EBA1E2},,,,,0,0
95,60.41222382,82.36951337,21.95728955,14.9309579,15.45318536,0.52222746,MoveDC_Pop_Emp_ForecastsPly_41,{40FDE058-0134-48E7-BC5F-A05263D335E0},,,,,0,0
96,15.07174683,17.59790578,2.52615895,7.0572063,7.31784176,0.26063546,MoveDC_Pop_Emp_ForecastsPly_228,{1267E7C6-8EE3-4D0B-9E3C-34B95F5F30CA},,,,,0,0
97,50.50588608,73.11129115,22.60540508,14.47237456,19.64458991,5.17221535,MoveDC_Pop_Emp_ForecastsPly_233,{39FEF672-3C42-40B3-966C-6965C2E83E26},,,,,0,0
98,64.8742981,81.62991266,16.75561457,5.15557343,5.40107693,0.2455035,MoveDC_Pop_Emp_ForecastsPly_80,{63D6BA6D-4840-4724-9979-11D7E295515A},,,,,0,0
